user,message_id,sentiment,content,date,time
FlyingCowTwits,/FlyingCowTwits/message/226157581,Bullish,"$SPY Too many bears already, back up we go.",2020/07/08,16:26:12
yuepingxiao,/yuepingxiao/message/226157550,Bearish,$SPY Fauci loading Heavy 230 puts 😱🤬😨,2020/07/08,16:26:12
_ShortSellTheSPY_,/_ShortSellTheSPY_/message/226158295,Bullish,$SPY Sell the PUTS make the CALLS,2020/07/08,16:27:13
seals44,/seals44/message/226158265,Bearish,$SPY Dogecoin outperforms SPY,2020/07/08,16:27:13
TakeMoneyRun,/TakeMoneyRun/message/226158242,Bearish,$SPY wow just made 100% in 20 minutes off my 315 $SPY PUTS this market fkin crazy what a swing,2020/07/08,16:27:13
AnywayBull,/AnywayBull/message/226158231,Bullish,"$SPY $TWO $NCLH $EVRI 
Wow I have to get retarded soon maybe hit my head with a brick then I can understand the market again",2020/07/08,16:27:13
OmegaCapital,/OmegaCapital/message/226158228,Bearish,$SPY sell algos...engage,2020/07/08,16:27:13
Rossimac,/Rossimac/message/226158132,Bearish,$SPY $QQQ 15 min QQQ H&S watch... testing that neckline as we type.,2020/07/08,16:27:13
v3tuz,/v3tuz/message/226158043,Bearish,$SPY beat the drums bears,2020/07/08,16:27:13
moenychaser,/moenychaser/message/226158010,Bearish,$SPY drop it like its hot Europe,2020/07/08,16:27:13
garyseeseverything,/garyseeseverything/message/226157867,Bearish,"$SPY downright dumb to have bought up here, thanks for the money!",2020/07/08,16:27:13
SaiyanGod,/SaiyanGod/message/226157803,Bearish,$SPY Here you go bulls,2020/07/08,16:27:13
Secret__,/Secret__/message/226158643,Bearish,$SPY H & S on NDX.  Can see it on hourly.,2020/07/08,16:28:14
DrewDrews2,/DrewDrews2/message/226158593,Bearish,$SPY Bears looking at bulls who went all in on calls this morning.,2020/07/08,16:28:14
Jakethesnake69,/Jakethesnake69/message/226158596,Bullish,$SPY is this all from the WHO? Lol,2020/07/08,16:28:14
Joelgas,/Joelgas/message/226158579,Bearish,$SPY just made 600% on my puts cashed out,2020/07/08,16:28:14
BullBearTrender,/BullBearTrender/message/226158560,Bearish,"$SPY If we can just drain this down 1 more point, I'll be out.
We can do it guys",2020/07/08,16:28:14
cmb1179,/cmb1179/message/226158526,Bearish,$SPY can it stay below 313?,2020/07/08,16:28:14
TommyTrash,/TommyTrash/message/226158490,Bearish,$SPY have 80% cash waiting to pick up some cheap shares pre and post Q2 earnings. $UBER $LYFT $CGC $SPCE,2020/07/08,16:28:14
OwensAssetFund,/OwensAssetFund/message/226158436,Bearish,$ES_F below yesterday Daily-low 3132.5 which bearish  $SPY $SPX,2020/07/08,16:28:14
armandhammer,/armandhammer/message/226158996,Bearish,$SPY lol markets have to come down once in a while. Can't go up forever. And why would fed buy up here?,2020/07/08,16:29:15
OhYesNotMe,/OhYesNotMe/message/226158930,Bullish,$SPY Someone should tell the bears to stand for our national anthem and not stomp on our flag,2020/07/08,16:29:15
RickSantelliFanClub,/RickSantelliFanClub/message/226158833,Bearish,$SPY the end is near,2020/07/08,16:29:15
jaguflii,/jaguflii/message/226158801,Bullish,$SPY did they really spend million figuring out that covid was airborne ... of course it is. This is permanent now either lock yourself away forever or crack on so we have funds to actually pay people. The difference with this virus is that we have everything in the world at a click of a button. Can’t wait to see how the rest of the panic is traded.,2020/07/08,16:29:15
AlexanderHandleton,/AlexanderHandleton/message/226158766,Bearish,$IWM 4 month uptrend is dead. Congrats bulls $SPY,2020/07/08,16:29:15
OhYesNotMe,/OhYesNotMe/message/226158768,Bullish,$SPY The bears cannot be trusted,2020/07/08,16:29:15
MistahYebba,/MistahYebba/message/226158759,Bullish,$BTC.X this could be when correlation between $SPY and BTC proven over the past couple months is finally breaking.,2020/07/08,16:29:15
_Professor,/_Professor/message/226159623,Bearish,"$SPY United warns 36,000 employees of potential job cuts as pandemic roils travel cnbc.com/2020/07/08/coronav...",2020/07/08,16:30:17
AndyFeldstein,/AndyFeldstein/message/226159542,Bearish,$SPY  - may hold $308 today....best to exit often and early!!!,2020/07/08,16:30:17
Valid,/Valid/message/226159152,Bearish,$SPY Sub 310 close,2020/07/08,16:30:17
clarkkentt,/clarkkentt/message/226159111,Bullish,$SPY $312 weekly calls,2020/07/08,16:30:17
HollyDolly,/HollyDolly/message/226160102,Bearish,$SPY crack head Robinhood bulls are going to get toasted.,2020/07/08,16:31:18
elizabethhill26,/elizabethhill26/message/226159976,Bullish,$WMT $ROKU $SPY $BA $BABA  Hey Guys !!! make as much as you want !!! I've made 96k in last two week. choose the best room !discord.com/invite/xtrades,2020/07/08,16:31:18
Economist4401,/Economist4401/message/226159949,Bearish,$SPY $SPX $DJIA 3% -5% Drop Today. Better do DD,2020/07/08,16:31:18
g33k3r,/g33k3r/message/226159817,Bullish,$NIO Algos just making it follow $SPY,2020/07/08,16:31:18
ShadowyForeignExchange,/ShadowyForeignExchange/message/226159792,Bearish,$SPY what was up with the action this morning? Designed to get the last of the last naive bulls to chase in?,2020/07/08,16:31:18
OhYesNotMe,/OhYesNotMe/message/226159704,Bullish,$SPY Bulls are very high iQ individuals,2020/07/08,16:31:18
proinvstr,/proinvstr/message/226159689,Bullish,"$SPY buy now EU about to close, gonna pump it back.",2020/07/08,16:31:18
_ShortSellTheSPY_,/_ShortSellTheSPY_/message/226169002,Bullish,$SPY Big Volume = Big Jolly Greens!,2020/07/08,16:55:15
roguetraderx,/roguetraderx/message/226168718,Bearish,"$TSLA $AMZN $SPY  
Abandon ship!",2020/07/08,16:55:15
PREMOSULTRA,/PREMOSULTRA/message/226168606,Bullish,"$VSTM ALMOST ALL WHALES BUYING THE ASK FOLLOW THE SMART MONEY @
 marketchameleon.com/?pap_ai...
$SPY $DJIA $QQQ $NIO",2020/07/08,16:55:15
geekkss,/geekkss/message/226168559,Bullish,$SPY Shaking off all the weak hands.,2020/07/08,16:55:15
JeanLuq,/JeanLuq/message/226168381,Bearish,"$SPY Nowhere to hide in this market, the big tech priced for perfection and zero disruption until 2090.",2020/07/08,16:55:15
GammaRent,/GammaRent/message/226168133,Bullish,"$TSLA As predicted- options buyers are realizing they got a raw deal yesterday. I have made 50% to 90% in one day shorting highest IV options on both sides. Taking risk off here and there, starting now
 $SPY",2020/07/08,16:55:15
murit100,/murit100/message/226168122,Bullish,$SPY  looks like a double bottom to me if your not buying calls what are you doing,2020/07/08,16:55:15
OhYesNotMe,/OhYesNotMe/message/226168049,Bullish,$SPY $NFLX I’m going to buy so much toilet paper,2020/07/08,16:55:15
LamboLogan,/LamboLogan/message/226168011,Bullish,$SPY COME MESS WITH THE BOYS,2020/07/08,16:55:15
pamp_it,/pamp_it/message/226167584,Bullish,$SPY bears after today,2020/07/08,16:55:15
Tymoney,/Tymoney/message/226167256,Bullish,$TSLA $SPY you know price is predetermined weeks in advanced. They know each side psychology and they take your money every single time.,2020/07/08,16:55:15
CloudCity7,/CloudCity7/message/226167227,Bullish,"$SPY Today’s accomplishments: 
— Destroy Stocktwits troll (x)
— Tune into Trump tweets (x)
— Bought the dip (x)",2020/07/08,16:55:15
OhYesNotMe,/OhYesNotMe/message/226167170,Bullish,$SPY It’s ripping stupid,2020/07/08,16:55:15
Economist4401,/Economist4401/message/226166987,Bearish,$SPY $SPX $DJIA $QQQ Investors running to Safe Heaven assets like Gold which shooting up. Stay away from all Government Bonds otherwise you gonna lose for sure. Yields to Maturity is way negative. Better cashed out or buy Gold or Dollar,2020/07/08,16:55:15
geekkss,/geekkss/message/226166939,Bullish,$SPY Second round of stimulus before 1st day back to school.,2020/07/08,16:55:15
FlowWithTrend,/FlowWithTrend/message/226166764,Bearish,"$SPY Don’t be Bullish here.. with COVID, shutdown, loss jobs and ch11. Fed can do so much... now 14 state quarantine. It’s going to get worse",2020/07/08,16:55:15
jackmania,/jackmania/message/226166705,Bearish,"$SPY 

It Really Is Trump’s Fault  bloomberg.com/view/articles...

We all knew that 🙄",2020/07/08,16:55:15
RealTimeTradingIdeas,/RealTimeTradingIdeas/message/226166546,Bearish,$SPY   Counter-trend bounce,2020/07/08,16:55:15
stocktalk24,/stocktalk24/message/226166540,Bullish,$SPY back at 314!,2020/07/08,16:55:15
fraudguarantee,/fraudguarantee/message/226166527,Bearish,$SPY kids aren't going back to school in the fall,2020/07/08,16:55:15
iFatShameLosses,/iFatShameLosses/message/226166511,Bearish,"$SPY if this goes back to 316 today, i'm not even going to hedge any more... what a fucking waste of money to even worry about this scam...",2020/07/08,16:55:15
armandhammer,/armandhammer/message/226169056,Bearish,$SPY lol oh cmon,2020/07/08,16:55:45
ExpertFellow,/ExpertFellow/message/226169034,Bullish,"Agreed, actually you can make money thru the market regardless of the economy (well if you know how to do it :) 
 
$AAPL $TSLA $AMZN $SPY $FB",2020/07/08,16:55:45
