,all,neg,pos,neu
'and,2,1.0,1.0,
it[s,1,1.0,,
prescription].',1,1.0,,
"rez,",1,1.0,,
reset,2,1.0,1.0,
clock.,2,2.0,,
teh,5,2.0,1.0,2.0
liek,2,1.0,,1.0
soooory,1,1.0,,
learnin,1,,,1.0
today!!!,8,4.0,3.0,1.0
briefing,1,,,1.0
7:30,4,1.0,2.0,1.0
a.m.?,1,,,1.0
East,5,1.0,1.0,3.0
"Coast,",1,,,1.0
who.,1,,,1.0
bb.,1,,1.0,
..plenty,1,,,1.0
Evelyn,1,,1.0,
Spoil,1,,1.0,
task,3,,2.0,1.0
=.,1,,,1.0
http://plurk.com/p/rozcz,1,,,1.0
"balls,",1,1.0,,
illogical,1,1.0,,
"be,",5,2.0,2.0,1.0
risk,4,3.0,1.0,
late!,5,3.0,,2.0
happpy,1,,1.0,
Starsailor,1,,,1.0
record?,1,,,1.0
hysterics,1,,1.0,
Yaas`,1,,1.0,
Speakers`,1,,1.0,
Food,6,2.0,3.0,1.0
Technology...****,1,,1.0,
Elaine.,1,,1.0,
clipping,1,,1.0,
reviews,8,,6.0,2.0
scrapbook.,1,,1.0,
fiasco,1,,1.0,
wrapped,3,1.0,1.0,1.0
midterms,2,1.0,1.0,
=(,5,2.0,2.0,1.0
7th,5,1.0,2.0,2.0
headache-all,1,,,1.0
inflicted,1,,,1.0
course!,8,,3.0,5.0
"uhh,",1,,1.0,
cutie,4,,2.0,2.0
bracelet,3,1.0,,2.0
1Direction,1,,,1.0
time?!,1,,,1.0
UGh!,1,,,1.0
authority,1,,,1.0
2day!,3,1.0,1.0,1.0
Say,7,1.0,4.0,2.0
hello!,3,1.0,,2.0
stranger!,1,,,1.0
BeBlessed!,1,,,1.0
cousin`s,5,,3.0,2.0
yacht,2,,1.0,1.0
convention.,1,,1.0,
upset.,1,,1.0,
won.,3,,3.0,
decking,1,1.0,,
psychology,2,2.0,,
dog.,4,2.0,,2.0
http://twitpic.com/4w5sy,1,,,1.0
urs!,1,,1.0,
admitting,3,,2.0,1.0
niley,1,,1.0,
demi/sterling,1,,1.0,
jemi,1,,1.0,
Taping,1,,1.0,
discretion,1,1.0,,
occasionally,3,1.0,1.0,1.0
AWFUL,2,1.0,,1.0
amazes,2,,2.0,
heck,8,2.0,2.0,4.0
still....this,1,,1.0,
'internet,1,,1.0,
thing',1,,1.0,
rung,1,,,1.0
"Wales,",2,,,2.0
court,5,,1.0,4.0
monday!,5,,3.0,2.0
mourning,2,2.0,,
homesssssskooooler,1,1.0,,
regarding,6,3.0,2.0,1.0
"brown,",1,,,1.0
sista,1,,,1.0
technique,1,,,1.0
..lol,1,,,1.0
simplicity,1,,,1.0
byeeeee,2,,,2.0
"Dilemma,",1,,,1.0
wear:,1,,,1.0
Now:,1,,,1.0
SanFran,1,,,1.0
Foggy,1,,,1.0
58,3,1.0,1.0,1.0
Sacramento,3,1.0,,2.0
cple,1,,,1.0
86,1,,,1.0
degr,1,,,1.0
A&E,1,,,1.0
(ER).,1,,,1.0
tangled,1,,,1.0
wheels,2,,,2.0
Daughter,3,,1.0,2.0
Dislocation,1,,,1.0
fracture,1,,,1.0
resulted.,1,,,1.0
whoshere,1,,,1.0
Clayton.,1,,1.0,
Resturant,1,,1.0,
Day!!!!,5,,5.0,
Huckabee,1,,1.0,
music...i,1,,,1.0
tends,3,1.0,,2.0
_Atticus,1,,1.0,
revising,9,1.0,2.0,6.0
>.<,7,3.0,1.0,3.0
Wisconsin...,1,1.0,,
Golden,6,2.0,2.0,2.0
Corral,1,1.0,,
dang!,1,1.0,,
Dang!,3,2.0,,1.0
msn,10,1.0,1.0,8.0
Bored.,5,5.0,,
7:06,1,1.0,,
Tha,1,1.0,,
Bus,2,2.0,,
buy?,1,,,1.0
Kaelah,1,,,1.0
admire,2,,1.0,1.0
FYI,5,1.0,3.0,1.0
Platinum,1,,1.0,
Notes,2,1.0,1.0,
3.0,4,2.0,2.0,
upgrade,5,1.0,4.0,
'PACKING',1,,1.0,
gut,5,1.0,2.0,2.0
Costa,2,1.0,,1.0
EAT,3,1.0,1.0,1.0
office!,3,2.0,,1.0
silence..doesnt,1,1.0,,
humm....,1,,1.0,
Mark,4,2.0,2.0,
#hoppusday,4,1.0,3.0,
",so",1,,1.0,
#hoppusday.......,1,,1.0,
people!!,1,,1.0,
Muffins:,1,,,1.0
Muffins,2,,,2.0
"delicious,",3,1.0,1.0,1.0
"neat,",1,,,1.0
"stress,",2,2.0,,
supporting,2,1.0,,1.0
lung,2,2.0,,
51.,1,1.0,,
over...,4,2.0,2.0,
effort.,4,,2.0,2.0
shop....,1,,1.0,
YUJM!!!...,1,,1.0,
unlucky,2,2.0,,
"husband,",1,,,1.0
ecstatic,1,,,1.0
Shane,1,,1.0,
Dawson,1,,1.0,
!!!!!!!!!!!!!!!!!!!!!!!,1,,1.0,
_perfect,1,1.0,,
now...good,1,,1.0,
Meeeee!,1,,1.0,
hater.....jus,1,1.0,,
working..,1,1.0,,
tree,8,3.0,1.0,4.0
"tweeps,",2,1.0,1.0,
goodnight!,6,,5.0,1.0
applied,6,3.0,2.0,1.0
OSAP,1,1.0,,
"God,",6,3.0,2.0,1.0
owe,8,1.0,7.0,
$$$,4,2.0,1.0,1.0
academic,1,1.0,,
"career,",1,1.0,,
streets,4,,,4.0
nyc,4,1.0,,3.0
celebrity...nothing,1,,,1.0
recap,2,,1.0,1.0
Wohoo!,1,,1.0,
Eddie,3,,3.0,
Izzard,1,,1.0,
December!,1,,1.0,
'i,8,1.0,5.0,2.0
california.',1,,1.0,
meantime,1,,,1.0
#edc,1,,,1.0
Take,20,5.0,10.0,5.0
Scrubs,3,1.0,1.0,1.0
ily<3,1,,1.0,
night</3,1,,1.0,
demi,7,1.0,4.0,2.0
Coz,1,,,1.0
any...,1,,,1.0
"Hmm,",4,2.0,1.0,1.0
holga,1,,,1.0
Rosemary,1,,1.0,
Sam,10,4.0,3.0,3.0
Raimi,1,,,1.0
Hell.,4,1.0,1.0,2.0
"interesting,",1,,,1.0
friday!!,2,,1.0,1.0
guy.but,1,,1.0,
thatwouldmake1of,1,,1.0,
myFRIENDS,1,,1.0,
prefer?,1,,,1.0
"Hamdemic,",1,,,1.0
Aporkalypse,1,,,1.0
Parmageddon?,1,,,1.0
yiiiit!,1,,,1.0
slave.,1,1.0,,
cargo,1,1.0,,
G5,1,1.0,,
bro`s,3,1.0,,2.0
bday...he`s,1,1.0,,
cALL,1,,1.0,
mE,2,,2.0,
"wiErD,",1,,1.0,
bUt,1,,1.0,
jUs,1,,1.0,
LuV,1,,1.0,
rAiNy,1,,1.0,
DaYs!,1,,1.0,
MaKeS,1,,1.0,
feeL,1,,1.0,
sO,1,,1.0,
waRm,1,,1.0,
cOzY,1,,1.0,
iNsIdE,1,,1.0,
anythgin,1,,,1.0
sleepover,3,,,3.0
query,2,1.0,,1.0
Cool!,1,,,1.0
(from,2,1.0,,1.0
decluttering,1,,,1.0
"friend),",1,,,1.0
Mondays...,1,,1.0,
home??,1,,1.0,
thankful!!,1,,1.0,
Him,2,,1.0,1.0
raise.,2,1.0,,1.0
PPL,1,,,1.0
WHO,4,1.0,,3.0
ONLY,6,2.0,1.0,3.0
TWIT,1,,,1.0
UP,23,7.0,4.0,12.0
FRIDAYS,1,,,1.0
B/C,1,,,1.0
100+,2,,,2.0
FOLLOWERS,3,,2.0,1.0
THEY`RE,1,,,1.0
BANKING,1,,,1.0
15-20,1,,,1.0
#NOFAKERY,1,,,1.0
Lol!,3,,1.0,2.0
slippery!,1,,,1.0
reeeejuvinated,1,,,1.0
classes!!,2,,1.0,1.0
promises,2,,2.0,
clearing,2,,2.0,
maid,1,,1.0,
applications.,1,,1.0,
dayem,1,,,1.0
"Coronas,",1,1.0,,
craving,15,8.0,,7.0
Mexican,6,3.0,,3.0
"pastries,",1,1.0,,
Uptown,1,1.0,,
bagel,3,,1.0,2.0
don`t.,2,,2.0,
recover.,1,,1.0,
terence,1,,,1.0
cao,1,,,1.0
over-dose,1,,,1.0
fainting.,1,,,1.0
27th,2,,1.0,1.0
Mononoke,1,,1.0,
theater,5,1.0,2.0,2.0
condition,3,2.0,,1.0
starwars,3,1.0,,2.0
Rocio!,1,,,1.0
moommy,1,,1.0,
somn,1,,1.0,
phone!!!!!!,1,,,1.0
paul!!!,1,,,1.0
@_elj,2,,2.0,
FCS,1,,1.0,
OOh,1,,,1.0
dung,1,,,1.0
mice!!,1,,,1.0
Chem,5,2.0,,3.0
Awwh,1,1.0,,
mrs.,2,1.0,,1.0
Oli!,1,1.0,,
19th,1,1.0,,
snowdaysss..,1,1.0,,
FM97,1,1.0,,
fantastic..,1,,,1.0
eventful,3,1.0,1.0,1.0
`The,2,,1.0,1.0
pj`s`,1,,1.0,
too..one,1,,1.0,
onesies,2,,1.0,1.0
besties,4,1.0,2.0,1.0
Yea!,1,,1.0,
Lan,1,,1.0,
Poker,1,,1.0,
fun!!!!,2,,2.0,
compre,1,,1.0,
chal,2,1.0,1.0,
raha,1,,1.0,
abhi!!!!,1,,1.0,
`Mckenzie`,1,,1.0,
milwaukee,1,1.0,,
agaaaaaaiiiin,1,1.0,,
maaaam,1,1.0,,
thanks.mine,1,,1.0,
"mom,",9,1.0,6.0,2.0
wrote,14,4.0,4.0,6.0
"bills,",1,,1.0,
nothin`..,1,1.0,,
lower,8,5.0,,3.0
zero..,1,1.0,,
odd.,1,1.0,,
expecting,9,5.0,2.0,2.0
Broadway.,1,,,1.0
na.......,1,,,1.0
Debussy,1,,,1.0
homeboy,1,,,1.0
Boston.,1,,1.0,
"advanced,",1,,,1.0
grow,13,4.0,2.0,7.0
old!,3,,1.0,2.0
oliver??,1,,,1.0
anooyed,1,,,1.0
come.,10,4.0,2.0,4.0
twiiter,1,,,1.0
"R.I.P,",1,1.0,,
missed!,1,1.0,,
parade,3,1.0,,2.0
self...,1,,,1.0
mmm,10,1.0,5.0,4.0
REAL!,1,,1.0,
Isn`****,1,,1.0,
exciting!!!!,1,,1.0,
done.,21,3.0,7.0,11.0
that..,1,,,1.0
really??,1,,,1.0
bruise,3,3.0,,
nowhere!,1,1.0,,
hurts!,8,8.0,,
unmarried,1,,,1.0
(85/21589),1,,,1.0
http://bit.ly/Mo0QN,1,,,1.0
Headed,10,1.0,3.0,6.0
stop!,3,2.0,1.0,
book!,3,,3.0,
relaXin,1,,1.0,
yeah...haven`t,1,,1.0,
ages!!,1,,1.0,
_The_BC,1,,1.0,
(most,2,,1.0,1.0
time),2,1.0,1.0,
cent,3,1.0,,2.0
One.....,1,,,1.0
next...Mmmmmm,1,,,1.0
Came,8,3.0,3.0,2.0
ratty,1,1.0,,
staff,4,1.0,,3.0
blister,2,2.0,,
foot.,6,2.0,,4.0
Meh,1,1.0,,
"favorite,",1,,1.0,
to:,3,1.0,2.0,
http://tinyurl.com/c8fr3e,1,,1.0,
ffs,2,1.0,,1.0
:@:@:@,1,1.0,,
:$.,1,1.0,,
"william,",1,1.0,,
dropped,17,7.0,2.0,8.0
mobile.,3,1.0,,2.0
less!,1,1.0,,
data,5,4.0,,1.0
hours...booo,1,,,1.0
gooodnight!,1,,,1.0
"bell,",2,,,2.0
RING.,1,,,1.0
lender,1,1.0,,
was?,2,1.0,,1.0
toes.,2,1.0,,1.0
NIN,1,1.0,,
App,3,1.0,,2.0
Gets,1,1.0,,
Rejected,1,1.0,,
"Apple,",1,1.0,,
Reznor,1,1.0,,
Threatens,1,1.0,,
Jailbreak,1,1.0,,
http://viigo.im/sXB,1,1.0,,
sell...,3,2.0,1.0,
Omedetou!!,1,,1.0,
"exciting,",1,,1.0,
"expected,",2,,1.0,1.0
news!,1,,1.0,
Decisions,1,,1.0,
decisions,4,2.0,1.0,1.0
`know`?,1,,1.0,
"sick,",12,9.0,2.0,1.0
SHOWWW,1,,,1.0
refreshed,2,,1.0,1.0
http://twitpic.com/4wjai,1,,1.0,
Rehearsing,1,,1.0,
Alexander,2,,2.0,
Ovechkin,1,,1.0,
NHL,3,2.0,1.0,
forgive,10,5.0,,5.0
aware,2,,,2.0
contracts,1,,,1.0
UTI.,2,1.0,,1.0
8:45,2,,,2.0
yesss,3,1.0,1.0,1.0
moon!,2,,1.0,1.0
tweeting...,1,1.0,,
http://twitpic.com/4wc1y,1,,1.0,
Cracking,1,,1.0,
PhootoBoothingisFunForBunny,1,,1.0,
Volumen,1,,1.0,
Eins!,1,,1.0,
grillz,1,,,1.0
background,14,3.0,3.0,8.0
plaque,1,,,1.0
construction,1,,,1.0
lookd,1,,,1.0
familar,1,,,1.0
errands.,1,,1.0,
anywhere.,1,,1.0,
Krogers.,1,,1.0,
observation:,1,,,1.0
Aside,1,,,1.0
"riverwalk,",1,,,1.0
downtown,6,4.0,1.0,1.0
sketch,2,,2.0,
catwalk,2,,1.0,1.0
"outfit,",1,,1.0,
dye,7,2.0,2.0,3.0
models,5,1.0,1.0,3.0
yeh,5,,1.0,4.0
blahh,1,1.0,,
backstreet,1,1.0,,
says:,1,,1.0,
'Happy,2,,2.0,
Day!',1,,1.0,
resting.,2,,2.0,
stressed.,2,1.0,1.0,
IKEA,2,,2.0,
apartment.,6,1.0,2.0,3.0
stores,7,2.0,2.0,3.0
sun!!,1,,,1.0
night..have,1,,1.0,
defense.,1,,,1.0
catchy,1,,1.0,
Yahooo!,1,,1.0,
"tight,",1,,1.0,
bite!,1,,1.0,
"UK,",4,2.0,1.0,1.0
Sucks,4,4.0,,
stp,1,,,1.0
VHS.,1,,,1.0
connecting,1,,,1.0
harddrive,4,2.0,,2.0
PCD,3,1.0,1.0,1.0
starfleet,1,1.0,,
romulin,1,1.0,,
"Man,",10,5.0,5.0,
"bum,",1,1.0,,
diving,3,1.0,1.0,1.0
tropical,1,1.0,,
lagoon,1,1.0,,
fish...ahhh,1,1.0,,
_Megan_****,2,2.0,,
:mad:,1,1.0,,
image,6,1.0,,5.0
database,3,,1.0,2.0
paper.,5,,1.0,4.0
chit,2,,,2.0
Greg.,2,,1.0,1.0
graduated!,1,,1.0,
milestones,1,,,1.0
projects,4,2.0,1.0,1.0
michi,1,,1.0,
moma!!,1,,1.0,
kaki,1,,1.0,
nicholas,1,,1.0,
sparks.,1,,1.0,
P,3,,,3.0
Bale,2,1.0,,1.0
Remember:,1,1.0,,
"****...okay,",1,,1.0,
"alright...okay,",1,,1.0,
"living,",1,,1.0,
earn,3,1.0,2.0,
grocery,10,3.0,2.0,5.0
money.,14,6.0,2.0,6.0
occured,2,1.0,,1.0
me.....,1,1.0,,
Cheri`s,1,1.0,,
Prom,2,1.0,1.0,
Night......I,1,1.0,,
her......,1,1.0,,
970,1,1.0,,
difficult.,2,1.0,1.0,
ROFLMAO!,1,,1.0,
bonfire,1,,1.0,
Morning...is,1,,,1.0
there???,1,,,1.0
Warren,2,1.0,,1.0
died..,1,,,1.0
killed..,1,,,1.0
gutted!!!,1,,,1.0
warren,2,,,2.0
(even,2,,1.0,1.0
nasty!!),1,,,1.0
crawl,4,3.0,1.0,
exist,8,3.0,2.0,3.0
lmfaoo,2,1.0,1.0,
Berry,1,,,1.0
Line,2,,,2.0
Studying,3,1.0,1.0,1.0
begins,1,,,1.0
morrow,1,,,1.0
SC2,1,,1.0,
D3,1,,1.0,
Hopefully!,3,,1.0,2.0
yEssss!!!,1,,1.0,
goT,1,,1.0,
TwiN,1,,1.0,
oN,1,,1.0,
LoCK!!!,1,,1.0,
weLcomE,1,,1.0,
tWiiN,1,,1.0,
holiday?,1,,1.0,
ugh...,6,6.0,,
economy,9,4.0,,5.0
depressing...,1,1.0,,
capital,4,1.0,1.0,2.0
****-E-D,1,1.0,,
(how,1,,,1.0
surprising),1,,,1.0
"reprobates,",1,,1.0,
despite,13,6.0,6.0,1.0
endorsement.,1,,1.0,
smart!,1,,1.0,
band...,1,,,1.0
http://www.myspace.com/lcdsoundsystem,1,,,1.0
suspicion,1,1.0,,
ton,12,6.0,4.0,2.0
tools!,1,1.0,,
Sleep.,3,,,3.0
programmed,1,1.0,,
TV?,1,,,1.0
Hmm.,3,,2.0,1.0
'following',2,,1.0,1.0
g`morning,1,,1.0,
contacted,1,,,1.0
2ce,1,,,1.0
response,5,1.0,2.0,2.0
Baking,3,,2.0,1.0
experiment,4,,2.0,2.0
results:,2,,2.0,
rich.,1,,1.0,
sweet.,6,,5.0,1.0
Grounds,1,,,1.0
toys...only,1,,,1.0
bustin`,1,,,1.0
chops;,1,,,1.0
appeal,1,,,1.0
artists,4,,1.0,3.0
'Then',1,,1.0,
Brad,4,,2.0,2.0
Paisley.,1,,1.0,
Joy,3,,3.0,
playing..i,1,,,1.0
'home',1,,,1.0
caramel,3,,2.0,1.0
;__;,1,,1.0,
battle,5,,2.0,3.0
Minas,1,,1.0,
Tirith,1,,1.0,
impressive.,2,,2.0,
Return,1,,1.0,
Jedi,1,,1.0,
Rings,1,,1.0,
IMO.,1,,1.0,
twit.,2,,,2.0
hw`s,1,,,1.0
gretel,1,,1.0,
killeen,1,,1.0,
apparently.,1,,1.0,
anybody,9,4.0,2.0,3.0
hehehe,4,1.0,2.0,1.0
hello!!!,1,,1.0,
WTF?!,1,1.0,,
menu,3,1.0,,2.0
*in,3,2.0,1.0,
window*,1,1.0,,
sell,10,1.0,3.0,6.0
it?!,2,2.0,,
homebirth.,1,1.0,,
Moot,1,1.0,,
wish.,4,1.0,,3.0
round.,1,1.0,,
ahead.,4,2.0,2.0,
Barry,3,,,3.0
lol.Tweet,1,,,1.0
deck,11,4.0,2.0,5.0
prehistoric,1,,,1.0
greenville.,1,,1.0,
shooting,8,1.0,4.0,3.0
"swollen,",1,1.0,,
ring.,1,1.0,,
worrying,3,2.0,,1.0
grr!,2,2.0,,
"podunktown,",1,1.0,,
va,3,2.0,1.0,
Brothers`,1,,1.0,
`Paranoid`!,1,,1.0,
awesome!!,6,,6.0,
friends?,2,,,2.0
questioning,1,,,1.0
"nite,",2,,,2.0
whers,1,,,1.0
eye!!,1,,,1.0
"handwraps,",1,1.0,,
struggling,4,4.0,,
wrap,7,2.0,2.0,3.0
stronger,2,1.0,1.0,
other!,4,2.0,1.0,1.0
Defo,3,1.0,1.0,1.0
sooner,5,2.0,2.0,1.0
hawksmoor,1,,1.0,
Mummy,1,,,1.0
Nathan,3,,,3.0
Todd!,1,,,1.0
pasta,7,1.0,4.0,2.0
pizzahut.,1,,,1.0
http://yfrog.com/ehhmyj,1,,,1.0
lavender,2,,2.0,
present!!!,1,,1.0,
"count,",1,,1.0,
blur,2,1.0,1.0,
photograph,1,,1.0,
streetview..,1,,1.0,
_skies,5,4.0,,1.0
is!i,1,1.0,,
home.....seriously,1,1.0,,
portfolio,9,2.0,3.0,4.0
Bugzy,1,,,1.0
momies,2,,2.0,
http://bit.ly/Skqli,1,,1.0,
mmm!,1,,,1.0
tss,1,,,1.0
tsss,1,,,1.0
tss.,1,,,1.0
"LOL,",8,1.0,1.0,6.0
work......thinking,1,,,1.0
finals...summer,1,,,1.0
Gossip,3,2.0,1.0,
Fluffodile,1,1.0,,
latest?,1,1.0,,
"Teg,",1,1.0,,
"Jack,",3,2.0,1.0,
"Lou,",1,1.0,,
Tess,1,1.0,,
Frey.,1,1.0,,
gender,2,1.0,,1.0
war.,1,1.0,,
v.,5,1.0,2.0,2.0
son/daughter,1,,1.0,
Tooth,1,,,1.0
ache...but,1,,,1.0
sipping,2,,1.0,1.0
Partyyyy,1,,,1.0
Thus,1,,,1.0
Metaverse,1,,,1.0
Second,6,,2.0,4.0
Virtual,3,1.0,1.0,1.0
"Worlds,",1,,,1.0
gamier,1,,,1.0
Terra,2,,1.0,1.0
Nova,2,,,2.0
usage.,1,,,1.0
TN,1,,,1.0
#metaverseu,1,,,1.0
ya..!,2,,1.0,1.0
ughhh.,1,,,1.0
ruined.,2,1.0,,1.0
U2!,1,,1.0,
audiobook,1,,1.0,
Oliver,1,,1.0,
Twist,1,,1.0,
Rope,1,1.0,,
witdrawal,1,1.0,,
"effect,",1,1.0,,
"tie,",1,1.0,,
"teaching,",1,1.0,,
"demos,",1,1.0,,
with!,5,2.0,,3.0
first...but,1,1.0,,
somethin,4,1.0,2.0,1.0
lmao...i,1,1.0,,
str8,1,1.0,,
whatï¿½s,1,,,1.0
new?,4,1.0,,3.0
hospice,1,,,1.0
gpa,1,,,1.0
knows.,2,,,2.0
sweet!!!,1,,1.0,
...i,6,1.0,2.0,3.0
aus!,1,,1.0,
vegas,7,1.0,2.0,4.0
islip,1,1.0,,
10:40.,1,1.0,,
KILLME.,1,1.0,,
question.,4,,2.0,2.0
when/when,1,,,1.0
pril,1,,1.0,
_j,1,,1.0,
"4ever,",1,,1.0,
gossip,6,2.0,2.0,2.0
lots.,2,1.0,1.0,
figured.,1,1.0,,
He`d,1,1.0,,
manga,1,1.0,,
"happen,",4,1.0,2.0,1.0
person..,1,,1.0,
oneself,2,,1.0,1.0
sites...,1,,1.0,
"Exciting,",1,,1.0,
bitched,1,,,1.0
particular,2,1.0,,1.0
rachel.,1,,,1.0
ultimate,4,,2.0,2.0
event,14,3.0,4.0,7.0
oops!,2,2.0,,
sunset,2,,1.0,1.0
um,7,5.0,,2.0
"scary,",1,1.0,,
orlando,2,1.0,,1.0
cutting,11,4.0,2.0,5.0
Show.,3,,2.0,1.0
failure,3,1.0,,2.0
techno,2,,,2.0
shuffle.,2,,,2.0
Loud.,1,,,1.0
800,4,2.0,,2.0
pic?,2,,2.0,
http://twitpic.com/4jewc,1,,1.0,
Sweet!,3,,3.0,
Jaycee,1,,1.0,
one-letter-er,1,,1.0,
D!,2,,2.0,
tweeted...,1,1.0,,
dble,1,1.0,,
*suicide*,1,1.0,,
flower,5,,4.0,1.0
diamonds,1,,1.0,
closeness,1,,,1.0
distance?,1,,,1.0
closeness...,1,,,1.0
distant...,1,,,1.0
Pulled,1,,1.0,
sausage,5,,2.0,3.0
loft,1,,,1.0
down...its,1,,,1.0
spain!!,1,,,1.0
xxxxxxxx,2,1.0,,1.0
traumatized,2,2.0,,
Excellent,4,,4.0,
Suzaku,1,,1.0,
sucker,3,1.0,1.0,1.0
shh,1,,1.0,
cystic,1,1.0,,
lacrimal,1,1.0,,
infectection??,1,1.0,,
hurts!!,2,2.0,,
owen,1,1.0,,
recorded...,1,1.0,,
tryin,3,2.0,1.0,
"trouble,",1,1.0,,
thought.,5,1.0,2.0,2.0
say.......it`s,1,1.0,,
http://twitpic.com/4wr8k,1,,,1.0
Ashley,4,,1.0,3.0
Tisdale,3,,1.0,2.0
shades,2,1.0,,1.0
Airsoft,1,1.0,,
horrible!!,1,1.0,,
"news,",6,3.0,2.0,1.0
"hospital,",3,1.0,,2.0
R.I.P.,2,1.0,,1.0
Uncle,4,2.0,1.0,1.0
Tony,6,2.0,2.0,2.0
stealth,3,,1.0,2.0
skillz!,1,,,1.0
forget.,2,,,2.0
rear,2,1.0,,1.0
itt!?,1,,,1.0
We*d,1,,,1.0
Yess!!,1,,,1.0
Wake,4,2.0,,2.0
tickets!,3,1.0,,2.0
bleed!!,1,1.0,,
binoculars...,1,1.0,,
yew,3,,,3.0
work.....too,1,1.0,,
inbox....,1,1.0,,
ipod...sad...i,1,1.0,,
nano,3,1.0,1.0,1.0
DC????,1,1.0,,
"RI,",1,1.0,,
Terrible,1,1.0,,
welcomes,1,,,1.0
"TweetHampton,",1,,,1.0
congrats!!,2,,1.0,1.0
fake.,3,,1.0,2.0
same?,2,,1.0,1.0
~K~,1,,,1.0
Dubai!!!,1,,,1.0
settle,6,3.0,,3.0
hehe--sorry.,1,,,1.0
blending,1,,,1.0
Berlin,2,,,2.0
17:00,1,,,1.0
"car,",5,1.0,,4.0
haircut.,2,,,2.0
ciao!...,1,,,1.0
visite,1,,1.0,
you!!!!,3,2.0,,1.0
http://yfrog.com/3o3zxoj,1,1.0,,
demand,1,,1.0,
videos.,2,,1.0,1.0
blow,6,1.0,3.0,2.0
"SGB,",1,,1.0,
Soz,1,,,1.0
ideas.,1,,,1.0
geography,2,,,2.0
cz,1,,,1.0
handbag,2,2.0,,
sold!,1,1.0,,
Exactly!,3,1.0,1.0,1.0
Beta,1,1.0,,
expired,2,2.0,,
2.2.1,1,1.0,,
release.,2,1.0,,1.0
nesquik,1,,1.0,
#followillfriday,1,1.0,,
drooling,1,1.0,,
Notion,2,1.0,,1.0
heyahh,1,,1.0,
wern`t,1,,1.0,
cumin,1,,1.0,
london,18,4.0,5.0,9.0
taylorr,1,,1.0,
..****,1,,1.0,
tierd....,1,1.0,,
Heeder`s,1,,,1.0
laodicean,2,,,2.0
Kavya,3,,,3.0
bee,7,4.0,,3.0
crown!,1,,,1.0
"Note,",1,,,1.0
day!!!!!,2,,1.0,1.0
Maï¿½,2,,,2.0
(8,2,,,2.0
ago!),2,,,2.0
@_enzo,1,1.0,,
blech...,1,1.0,,
dollars.,2,1.0,,1.0
quoted,3,2.0,1.0,
USD,1,1.0,,
losses,1,1.0,,
hopping,1,1.0,,
tidy,3,1.0,,2.0
"hole,",2,2.0,,
Ambien,1,1.0,,
ashes,1,1.0,,
catnip,1,1.0,,
plant?,1,1.0,,
overspend,1,1.0,,
laker,4,1.0,1.0,2.0
Baptist,1,,,1.0
missionaries...,1,,,1.0
_awake,1,,1.0,
MIDDAY.,1,,1.0,
where`s,12,4.0,3.0,5.0
nooooooo,2,2.0,,
sue,1,1.0,,
retiring,3,1.0,1.0,1.0
credit-card,1,,1.0,
statement.,1,,1.0,
receive,5,,4.0,1.0
unholy,1,,1.0,
package!!,1,,1.0,
yaaaaay.,1,,1.0,
kidney,3,2.0,,1.0
stone.,1,1.0,,
http://tinyurl.com/qsw9vq,1,1.0,,
nerdy,2,,1.0,1.0
purchases,1,,,1.0
sales:,1,,,1.0
crates,1,,,1.0
($30),1,,,1.0
refrigerator,2,,1.0,1.0
($35),1,,,1.0
Jordie`s,1,,1.0,
Donnie`s,1,,1.0,
DIFFERENT,1,,1.0,
pj`s,1,,1.0,
Amazing!,2,,2.0,
"concert,",2,1.0,1.0,
"city,",1,,1.0,
dj...I,1,,1.0,
personality!!!!,1,,1.0,
Hbu?,1,,,1.0
addict?,1,,1.0,
Me?,4,,1.0,3.0
admit,12,1.0,5.0,6.0
BUT...,1,,1.0,
*smile*,1,,1.0,
gangstarr,1,,,1.0
exgirl,1,,,1.0
nas,1,,,1.0
addison,1,,,1.0
fav.,1,,,1.0
inherent,1,,1.0,
humility,1,,1.0,
boxing,2,1.0,,1.0
tweet-up,1,1.0,,
tweet-up!),1,1.0,,
quizzes.,1,,,1.0
w00t?,1,,,1.0
apetite,1,,,1.0
Ahh!,4,2.0,1.0,1.0
Members,1,1.0,,
toasters,1,1.0,,
void,2,2.0,,
union!,1,1.0,,
Sick!,1,1.0,,
stinks.,2,2.0,,
wot,3,1.0,,2.0
//hmm,1,,,1.0
:'>,2,,1.0,1.0
FAME,1,,,1.0
Hahah,2,,1.0,1.0
tank/dps,1,1.0,,
guild.,1,1.0,,
server?,1,1.0,,
EBTG,1,,,1.0
'Each,1,,,1.0
One',2,,,2.0
hol,2,,,2.0
morn,3,2.0,,1.0
cuppa,5,1.0,1.0,3.0
T,6,2.0,1.0,3.0
"travesty,",1,,,1.0
no?,4,1.0,1.0,2.0
joss,2,,1.0,1.0
whedon!!!!,1,,,1.0
Cashflow,1,,,1.0
forecasts,1,,,1.0
numbers,6,1.0,1.0,4.0
well..That,1,,1.0,
ends,5,1.0,2.0,2.0
<,4,1.0,2.0,1.0
Met,2,,1.0,1.0
exs,1,,,1.0
dated,1,,,1.0
10-Year-Old,1,,1.0,
Battles,1,,1.0,
Rare,1,,1.0,
Breast,1,,1.0,
Cancer,2,,2.0,
http://bit.ly/JPe9c,1,,1.0,
cutting.,1,,1.0,
"alex,",1,,,1.0
v,10,3.0,5.0,2.0
