,all,neg,pos,neu
brixton,2,,,2.0
fwd,2,,,2.0
monthsish,1,,,1.0
_lambert,1,,,1.0
vry,1,,,1.0
supernatural,14,2.0,4.0,8.0
hunt,9,2.0,1.0,6.0
tents,1,,1.0,
stayin,4,3.0,1.0,
newish,2,2.0,,
agreed,9,2.0,2.0,5.0
proper,12,5.0,3.0,4.0
teardrops,1,,,1.0
germany,25,4.0,14.0,7.0
tag,10,1.0,3.0,6.0
5km,2,,2.0,
1h33mn,1,,1.0,
153bpm,1,,1.0,
fatigue,2,,2.0,
vivid,2,,1.0,1.0
rewarding,1,,1.0,
rooftop,3,,2.0,1.0
terrace,1,,1.0,
prospectus,1,,1.0,
neeed,1,,1.0,
condition,4,2.0,1.0,1.0
champs,4,1.0,1.0,2.0
flags,3,2.0,,1.0
mack,1,,1.0,
soupy,1,,,1.0
soup,21,6.0,7.0,8.0
heinz,1,,,1.0
mushroom,6,1.0,,5.0
bbl,6,2.0,2.0,2.0
angry,14,12.0,,2.0
teethed,1,1.0,,
_pearlman,1,,1.0,
harry,6,1.0,2.0,3.0
baked,11,1.0,4.0,6.0
vegetarian,6,2.0,1.0,3.0
lasted,5,2.0,1.0,2.0
vegan,3,,2.0,1.0
suhana,1,1.0,,
ilikeucoz,1,,1.0,
youregreat,1,,1.0,
yur,3,1.0,1.0,1.0
bringin,1,,1.0,
twpp,6,2.0,1.0,3.0
nw,2,,,2.0
trending,15,2.0,5.0,8.0
topics,11,2.0,3.0,6.0
recorded,6,3.0,,3.0
thooo,2,,1.0,1.0
eeeeee,1,,,1.0
suicides,3,1.0,2.0,
mid,11,2.0,2.0,7.0
sodas,2,,2.0,
hive,3,1.0,2.0,
tame,2,1.0,,1.0
nicholas,2,,2.0,
braun,1,,1.0,
cameron,3,,1.0,2.0
kindergarten,3,,2.0,1.0
_emily,1,,,1.0
quickly,8,2.0,4.0,2.0
goers,1,1.0,,
speakeasy,2,1.0,1.0,
theaters,2,2.0,,
pals,3,,,3.0
cruel,5,5.0,,
imagine,28,7.0,7.0,14.0
whoa,12,1.0,5.0,6.0
whores,2,,,2.0
superman,5,,4.0,1.0
logically,1,,,1.0
beside,4,1.0,,3.0
motorways,2,1.0,,1.0
symphonic,1,,,1.0
todays,18,6.0,4.0,8.0
gill,1,,,1.0
edwin,2,1.0,,1.0
batch,2,1.0,,1.0
inikco,1,,1.0,
bluetooth,2,,,2.0
uniservity,1,,,1.0
cs4,3,1.0,,2.0
tutorials,4,,3.0,1.0
steels,1,1.0,,
prints,3,1.0,,2.0
achieving,1,,,1.0
appreciation,4,1.0,,3.0
xml,1,,,1.0
cumbersome,1,,,1.0
soonnnnnn,1,1.0,,
rly,8,5.0,3.0,
hax0r1,1,,,1.0
pro,13,6.0,,7.0
stable,3,,1.0,2.0
smiling,10,,9.0,1.0
kirsten,1,,1.0,
vogue,2,,1.0,1.0
merh,1,,,1.0
trent,5,1.0,,4.0
reznor,3,1.0,,2.0
liddle,1,,,1.0
beotch,1,,,1.0
peanut,12,3.0,5.0,4.0
gallery,7,1.0,5.0,1.0
aliens,3,,,3.0
boobie,1,,,1.0
craig,3,1.0,,2.0
rise,9,1.0,3.0,5.0
clicked,6,1.0,,5.0
angelina,2,,1.0,1.0
spam,17,10.0,2.0,5.0
checks,1,,,1.0
blake,1,,,1.0
sea,9,1.0,3.0,5.0
sandbox,1,,,1.0
cordova,2,,,2.0
rez,3,2.0,,1.0
objects,1,,,1.0
autoreturn,1,,,1.0
jen,6,4.0,2.0,
mojokins,1,1.0,,
mvp,1,,1.0,
profession,2,2.0,,
cherry,5,,2.0,3.0
italian,10,,5.0,5.0
local,20,9.0,4.0,7.0
ritas,2,1.0,1.0,
flavors,2,,2.0,
heyya,2,,,2.0
formulas,2,1.0,,1.0
create,5,2.0,,3.0
sudoku,3,,1.0,2.0
watchin,20,5.0,2.0,13.0
mi,11,3.0,7.0,1.0
madre,3,,3.0,
hike,2,,,2.0
ignored,6,4.0,,2.0
ffaf,1,1.0,,
distraaaaacting,1,1.0,,
fiona,2,,,2.0
quadriceps,1,,,1.0
woosoo,1,,,1.0
plz,13,3.0,1.0,9.0
gant,1,,,1.0
knowing,11,5.0,4.0,2.0
driveing,1,,,1.0
nutts,1,,,1.0
5jimj,1,,,1.0
keypad,1,1.0,,
typing,8,5.0,1.0,2.0
darn,28,17.0,2.0,9.0
language,11,1.0,2.0,8.0
mapped,1,,,1.0
boonies,2,,,2.0
blokey,1,,,1.0
fluffy,5,,1.0,4.0
towel,5,2.0,,3.0
dry,20,7.0,3.0,10.0
tummy,32,28.0,2.0,2.0
greatfirewallofchina,1,,,1.0
china,12,1.0,6.0,5.0
secured,1,,,1.0
pan,5,1.0,1.0,3.0
acoustic,2,,1.0,1.0
pee,5,3.0,,2.0
kickin,5,3.0,2.0,
careys,1,,1.0,
butt,14,4.0,6.0,4.0
15mins,2,1.0,1.0,
mpsh1,1,,1.0,
wisdom,15,5.0,6.0,4.0
flow,6,,2.0,4.0
whee,2,,2.0,
hash,3,,1.0,2.0
waterley,1,,1.0,
mistressing,1,,1.0,
porto,2,,1.0,1.0
tulane,1,1.0,,
unique,4,1.0,3.0,
glasgow,11,3.0,2.0,6.0
felix,1,1.0,,
anywho,4,,1.0,3.0
treatments,1,1.0,,
tubs,1,1.0,,
travel,26,7.0,11.0,8.0
sites,11,3.0,4.0,4.0
feedback,9,,7.0,2.0
ixigo,1,,1.0,
blank,4,2.0,1.0,1.0
tgif,18,8.0,3.0,7.0
resto,1,1.0,,
dayuummm,1,1.0,,
pug,6,2.0,2.0,2.0
chuck,6,3.0,3.0,
palahniuks,1,1.0,,
pygmy,1,1.0,,
coached,1,,,1.0
youngster,2,1.0,,1.0
fundamentals,1,,,1.0
steak,12,2.0,3.0,7.0
googled,3,,2.0,1.0
watering,2,,1.0,1.0
cuwj2b,1,,,1.0
speciaal,1,,,1.0
voor,1,,,1.0
zo,1,,,1.0
vind,1,,,1.0
ik,4,1.0,,3.0
ze,3,1.0,1.0,1.0
leuk,1,,,1.0
butbutbuttt,1,,,1.0
riding,11,3.0,2.0,6.0
daddys,2,1.0,1.0,
mans,3,1.0,,2.0
convenient,3,2.0,1.0,
survived,3,1.0,1.0,1.0
nipissing,1,,1.0,
pitas,2,,2.0,
euphoria,2,,2.0,
barrie,1,,1.0,
survive,9,4.0,3.0,2.0
smoothies,2,1.0,1.0,
heyyyyy,2,,,2.0
signings,2,,1.0,1.0
drew,7,2.0,1.0,4.0
heating,1,1.0,,
pad,6,2.0,1.0,3.0
ladder,1,1.0,,
collapse,1,1.0,,
bum,10,7.0,2.0,1.0
tutor,2,1.0,,1.0
c1,1,,,1.0
c2,1,,,1.0
nighttt,2,,,2.0
xxo,1,,,1.0
ilys,1,,,1.0
hotel,16,8.0,2.0,6.0
ignore,13,6.0,2.0,5.0
ewww,3,2.0,,1.0
printed,5,2.0,2.0,1.0
badge,2,1.0,,1.0
thingie,2,1.0,,1.0
eww,11,7.0,,4.0
ugly,24,15.0,,9.0
road,27,6.0,5.0,16.0
ghosts,4,,1.0,3.0
girlfriends,9,1.0,2.0,6.0
predictable,3,,3.0,
stocked,1,,,1.0
accessing,1,1.0,,
istore,1,1.0,,
frame,5,2.0,1.0,2.0
damage,4,3.0,1.0,
totalled,2,2.0,,
keswick,1,,,1.0
_apuya,1,,1.0,
andrew,7,2.0,4.0,1.0
arrested,2,1.0,,1.0
disturbance,2,1.0,,1.0
fhnixons,1,,1.0,
posts,14,5.0,3.0,6.0
hilarious,27,1.0,24.0,2.0
politicians,3,1.0,,2.0
stories,10,3.0,2.0,5.0
guessing,8,1.0,4.0,3.0
bgn,1,,,1.0
_breannarose,1,1.0,,
fuuuuuuck,1,1.0,,
youuuu,1,1.0,,
owner,6,2.0,1.0,3.0
coffin,1,,,1.0
drinkers,1,,,1.0
mort,1,,,1.0
subite,1,,,1.0
lampions,1,1.0,,
bacoor,1,,,1.0
wahaha,1,,,1.0
wifi,9,4.0,2.0,3.0
toinks,1,,,1.0
wiih,1,,,1.0
sveoi,1,,,1.0
antiboyle,1,1.0,,
passion,4,2.0,2.0,
cheer,19,4.0,11.0,4.0
define,2,,,2.0
hooping,1,,1.0,
calgary,1,1.0,,
coo,1,,,1.0
intern,2,,,2.0
dangit,5,4.0,,1.0
tehe,2,,,2.0
9th,5,1.0,2.0,2.0
coursework,5,2.0,1.0,2.0
ashamed,4,3.0,,1.0
preservers,1,,,1.0
special,60,5.0,39.0,16.0
california,23,7.0,8.0,8.0
putz,1,,,1.0
adoro,1,,,1.0
essa,1,,,1.0
banda,1,,,1.0
mmmmm,4,,2.0,2.0
smells,11,4.0,5.0,2.0
guuud,1,,1.0,
wonders,8,5.0,1.0,2.0
pantien,1,,1.0,
sabrina,2,1.0,1.0,
cary,2,2.0,,
grant,2,1.0,1.0,
shabby,1,1.0,,
tfarp,1,,1.0,
translate,3,1.0,1.0,1.0
nods,1,,1.0,
dres,1,,1.0,
smirker,1,,1.0,
dave,19,6.0,6.0,7.0
aka,10,3.0,4.0,3.0
jak,1,,1.0,
chest,13,8.0,2.0,3.0
5jjcc,1,,1.0,
colleen,1,,1.0,
sincerely,2,,1.0,1.0
dubstep,1,,1.0,
uncontrolable,1,1.0,,
hic,1,1.0,,
wknd,8,4.0,4.0,
txting,2,1.0,,1.0
holland,3,,2.0,1.0
greaaaaat,1,,1.0,
d53dmn,1,,,1.0
moyles,1,,,1.0
ladies,26,3.0,14.0,9.0
lub,2,,,2.0
yah,13,3.0,6.0,4.0
angel,7,1.0,3.0,3.0
harrassed,1,1.0,,
burgen,1,1.0,,
thnx,10,,10.0,
neil,6,2.0,1.0,3.0
strauss,1,,,1.0
whywhywhy,1,1.0,,
essays,2,1.0,,1.0
remembering,4,1.0,3.0,
poetry,4,,2.0,2.0
sydney,21,4.0,9.0,8.0
edian,1,,1.0,
_song,1,,,1.0
wondrous,1,,,1.0
beltaine,1,,,1.0
adem,2,,,2.0
uit,1,,,1.0
vcr,2,1.0,,1.0
stephen,3,1.0,,2.0
king,9,,3.0,6.0
fo,5,1.0,,4.0
sho,2,,,2.0
grounded,7,4.0,1.0,2.0
stereos,1,,1.0,
tourney,2,1.0,,1.0
2xdpf,1,,,1.0
reeeally,3,1.0,,2.0
patron,3,2.0,1.0,
1ofmy,1,1.0,,
favs,2,1.0,1.0,
icant,4,4.0,,
alabama,2,2.0,,
visitin,3,2.0,1.0,
alltop,1,1.0,,
deserve,21,6.0,14.0,1.0
step,19,3.0,3.0,13.0
bahah,1,,1.0,
forgetting,6,4.0,1.0,1.0
deadline,7,4.0,1.0,2.0
award,5,1.0,2.0,2.0
trips,8,4.0,2.0,2.0
south,20,5.0,4.0,11.0
lurveeeeee,1,,1.0,
bugs,12,4.0,3.0,5.0
saimee,1,,,1.0
underage,2,1.0,,1.0
festival,8,1.0,4.0,3.0
unryf,1,,,1.0
rejected,4,4.0,,
w00t,4,,1.0,3.0
4t4jv,1,,1.0,
puppy,27,12.0,7.0,8.0
maddie,6,5.0,1.0,
maui,5,4.0,1.0,
twimulations,1,1.0,,
flag,3,1.0,2.0,
proudly,3,,3.0,
displayed,1,,1.0,
downloaded,17,3.0,9.0,5.0
eeecontrol,1,,,1.0
eee,4,,2.0,2.0
settings,10,,,10.0
1500rpm,1,,,1.0
55c,1,,,1.0
0rpm,1,,,1.0
mollie,1,,,1.0
developers,3,,2.0,1.0
providers,3,1.0,1.0,1.0
venture,2,,2.0,
folks,19,7.0,4.0,8.0
drumsticks,1,1.0,,
eagle,3,,1.0,2.0
lighthouse,1,,1.0,
hangout,3,,3.0,
discovery,5,1.0,3.0,1.0
curl,2,1.0,1.0,
_lipz,1,,,1.0
lorraine,3,,1.0,2.0
_and_jay,1,1.0,,
strawberries,10,3.0,2.0,5.0
meatballs,2,,2.0,
yaaayyy,1,,1.0,
icons,3,,,3.0
wanting,22,9.0,2.0,11.0
cooperating,4,3.0,1.0,
sittin,12,6.0,1.0,5.0
responding,4,1.0,1.0,2.0
thou,4,2.0,2.0,
appreciate,35,1.0,31.0,3.0
munity,7,2.0,3.0,2.0
knowww,2,1.0,1.0,
backup,8,3.0,2.0,3.0
michael,15,4.0,5.0,6.0
scholfield,1,1.0,,
wl9yl,1,,,1.0
drs,5,3.0,1.0,1.0
howre,2,,,2.0
forgo,1,1.0,,
pub,19,3.0,3.0,13.0
neighbor,7,3.0,,4.0
youuuuu,1,,1.0,
santino,1,,1.0,
thirteen,1,,1.0,
dayssss,2,,2.0,
venus,4,4.0,,
monster,7,2.0,4.0,1.0
law,23,6.0,11.0,6.0
steady,4,,2.0,2.0
ine,3,,,3.0
nine,8,1.0,4.0,3.0
sleepdeprived,1,,,1.0
increasingly,2,1.0,1.0,
happier,7,,5.0,2.0
nogard,1,1.0,,
wx,1,1.0,,
delays,3,2.0,,1.0
bwi,1,1.0,,
negative,8,4.0,1.0,3.0
marines,2,1.0,,1.0
serve,3,1.0,1.0,1.0
phuket,2,,,2.0
unpleasant,2,1.0,,1.0
laws,8,3.0,2.0,3.0
4ward,2,1.0,1.0,
picking,12,5.0,4.0,3.0
cotton,3,1.0,,2.0
suppliment,1,,,1.0
fragile,1,,,1.0
foots,1,1.0,,
fanboy,1,,,1.0
mraz,3,,2.0,1.0
morrison,1,,,1.0
jealousy,3,2.0,,1.0
tangible,1,,,1.0
someday,13,3.0,6.0,4.0
switch,6,,2.0,4.0
gov,3,,,3.0
studentfinance,1,,,1.0
sched,1,,,1.0
tiring,6,3.0,1.0,2.0
bazillionz,1,,,1.0
supprtin,1,,,1.0
hum,1,,,1.0
bailey,3,,2.0,1.0
conflicts,1,1.0,,
dvr,3,1.0,2.0,
_niffer,1,1.0,,
rye,2,,1.0,1.0
speedway,1,,,1.0
discount,3,1.0,1.0,1.0
code,27,6.0,7.0,14.0
pads,1,,1.0,
heartbreak,3,3.0,,
_gates,2,2.0,,
julys,2,,,2.0
_reece,1,,1.0,
naw,9,2.0,2.0,5.0
momentum,1,1.0,,
jeff,9,3.0,4.0,2.0
42nd,2,2.0,,
hiding,7,1.0,1.0,5.0
offshore,1,,,1.0
behalf,2,,,2.0
cet0s,1,,,1.0
rutledge,1,,,1.0
mod,5,,3.0,2.0
chad,3,1.0,,2.0
grave,2,,1.0,1.0
impressive,7,,5.0,2.0
correct,10,1.0,4.0,5.0
stalking,5,2.0,1.0,2.0
67fcj,1,,1.0,
resort,2,1.0,1.0,
slurred,1,,,1.0
reach,11,5.0,1.0,5.0
kisskass19,1,1.0,,
katey,1,1.0,,
nd,22,7.0,3.0,12.0
vodkas,1,1.0,,
tumblr,23,8.0,6.0,9.0
xkx1wgl8r,1,1.0,,
updating,15,2.0,5.0,8.0
maven,1,,1.0,
dependencies,1,,1.0,
arg,3,2.0,,1.0
purty,1,,,1.0
taltal,1,,,1.0
taken,35,11.0,6.0,18.0
aol,3,1.0,,2.0
coincidence,4,1.0,1.0,2.0
tal,1,,,1.0
pinkberry,1,,,1.0
edy,9,2.0,2.0,5.0
outlet,2,2.0,,
headlining,3,1.0,,2.0
basically,18,6.0,6.0,6.0
doubled,3,2.0,,1.0
tis,12,3.0,5.0,4.0
former,4,,1.0,3.0
proclamation,1,,,1.0
stubborn,7,2.0,1.0,4.0
rebellioustwitwhoknowsacoolcatcook,1,,,1.0
congratuations,1,,1.0,
yeahh,8,2.0,3.0,3.0
pr,5,,,5.0
single,34,7.0,15.0,12.0
range,2,1.0,,1.0
drama,17,6.0,7.0,4.0
xoxo,33,6.0,22.0,5.0
spain,10,3.0,4.0,3.0
incredible,10,1.0,9.0,
omelette,2,,,2.0
dim,1,,,1.0
feast,1,,,1.0
dvds,7,1.0,2.0,4.0
lancey,1,,1.0,
grapevine,1,,1.0,
diggin,3,1.0,2.0,
moustachio,1,,1.0,
daddio,1,,1.0,
careful,4,1.0,2.0,1.0
screamed,4,1.0,2.0,1.0
hiya,6,,,6.0
hows,15,,3.0,12.0
tourist,3,,,3.0
skill,2,1.0,1.0,
bio,15,5.0,1.0,9.0
suckkkk,1,1.0,,
sleepness,1,1.0,,
vlogcandy,1,1.0,,
almostt,1,,,1.0
casino,4,3.0,,1.0
montreal,5,1.0,,4.0
typical,9,4.0,1.0,4.0
training,18,,3.0,15.0
saddens,1,1.0,,
dc,17,5.0,3.0,9.0
07am,1,1.0,,
ugghhh,1,1.0,,
delhi,5,1.0,2.0,2.0
wzk3o,1,,,1.0
paranoid,12,1.0,7.0,4.0
performed,2,,,2.0
lumberjack,2,,,2.0
opendns,1,,,1.0
casts,1,,,1.0
crappy,16,13.0,,3.0
dns,3,2.0,,1.0
par,3,,,3.0
appointment,11,5.0,2.0,4.0
whit,1,,1.0,
saynow,2,,,2.0
yayy,11,1.0,5.0,5.0
jbs,3,,,3.0
canadian,3,,1.0,2.0
landline,3,,2.0,1.0
remembered,16,4.0,4.0,8.0
_r,2,1.0,,1.0
operational,2,1.0,,1.0
chill,21,4.0,10.0,7.0
rihanna,1,,,1.0
concentrate,6,5.0,,1.0
harsh,4,3.0,,1.0
savvy,2,1.0,,1.0
tucson,2,1.0,,1.0
miserable,10,7.0,,3.0
k3gmw,1,,,1.0
shuts,3,1.0,1.0,1.0
transfer,7,3.0,1.0,3.0
impressions,3,1.0,1.0,1.0
sexual,1,1.0,,
maternal,1,1.0,,
threatening,1,1.0,,
weak,9,7.0,2.0,
fog,4,1.0,1.0,2.0
pearl,4,1.0,,3.0
harbor,1,,,1.0
branding,1,,1.0,
iron,7,1.0,4.0,2.0
drea,1,,1.0,
boubous,1,,1.0,
crunk,2,,2.0,
hailee,1,,,1.0
possibly,12,4.0,2.0,6.0
lafayette,2,,,2.0
yew,4,,1.0,3.0
reflecting,1,,1.0,
sunlight,1,,1.0,
rolled,3,3.0,,
useless,9,4.0,1.0,4.0
crib,4,2.0,1.0,1.0
abt,22,9.0,3.0,10.0
scenic,1,,1.0,
oyster,3,1.0,1.0,1.0
cult,3,,3.0,
5jd4b,1,,1.0,
inviting,5,3.0,2.0,
_phatass,1,,1.0,
passing,6,1.0,2.0,3.0
maryland,4,,1.0,3.0
camden,1,,1.0,
trousers,7,5.0,1.0,1.0
loose,11,8.0,1.0,2.0
tight,6,2.0,2.0,2.0
sniffles,2,,1.0,1.0
rof,1,,1.0,
eep,1,,1.0,
fangirl,4,,1.0,3.0
hollowbabeshere,1,1.0,,
utter,3,2.0,,1.0
shite,5,2.0,1.0,2.0
bffls,1,1.0,,
nevah,1,,1.0,
tells,8,2.0,2.0,4.0
hahahahaha,10,,7.0,3.0
shape,8,4.0,1.0,3.0
via,38,3.0,16.0,19.0
jasons,2,,1.0,1.0
stale,3,1.0,,2.0
sweets,3,1.0,,2.0
reminds,17,6.0,4.0,7.0
_mcfly,3,,2.0,1.0
upto,3,1.0,1.0,1.0
xoxox,4,1.0,3.0,
classics,3,1.0,1.0,1.0
eather,1,1.0,,
wabble,2,2.0,,
enterprise,5,,,5.0
girlfriend,11,4.0,4.0,3.0
sesame,1,,1.0,
wade,1,,,1.0
flovers,1,,1.0,
mucky,1,,1.0,
lolipop,1,,,1.0
esploder,1,,,1.0
bands,12,3.0,7.0,2.0
trash,5,2.0,1.0,2.0
20th,3,,3.0,
sailed,1,,1.0,
ccos,1,,1.0,
nto,2,1.0,,1.0
cow,5,2.0,2.0,1.0
pastures,1,,1.0,
lutherans,1,,1.0,
tweeters,13,,10.0,3.0
sacramento,4,1.0,,3.0
r2,2,,1.0,1.0
unleashed,1,,,1.0
vaccuum,1,1.0,,
war,11,5.0,2.0,4.0
spider,11,5.0,2.0,4.0
haven,2,1.0,,1.0
catalog,2,,1.0,1.0
jitsu,1,,,1.0
appearing,2,,1.0,1.0
alllll,5,1.0,3.0,1.0
inspired,6,1.0,5.0,
bham,2,2.0,,
sa,12,1.0,2.0,9.0
highways,1,,,1.0
mommys,20,,18.0,2.0
project,43,9.0,17.0,17.0
ministers,1,,1.0,
rf,2,,,2.0
target,6,1.0,1.0,4.0
dndn,1,,,1.0
tooo,13,6.0,5.0,2.0
67xv3,1,,,1.0
pawnshop,1,,,1.0
jimi,1,,,1.0
hendrix,2,,,2.0
seattle,16,3.0,3.0,10.0
cashing,1,,,1.0
matters,5,2.0,2.0,1.0
plicated,7,5.0,,2.0
babydoll,1,,,1.0
spaghetti,3,,1.0,2.0
strap,3,2.0,,1.0
wolf,3,,1.0,2.0
shirts,7,3.0,1.0,3.0
meme,2,,,2.0
fabric,4,,1.0,3.0
editors,3,,2.0,1.0
nod,2,,,2.0
writers,4,,1.0,3.0
crm4c2,1,,,1.0
bbye,1,,,1.0
biochem,1,,,1.0
waaaaahhhhhh,1,,,1.0
wxizo,1,,,1.0
print,7,1.0,3.0,3.0
amazon,7,1.0,4.0,2.0
snipurl,4,,3.0,1.0
hq0n1,2,,2.0,
interests,1,,1.0,
_jen,1,,,1.0
unravel,1,,,1.0
bambi,2,1.0,,1.0
pocket,9,2.0,1.0,6.0
member,7,,1.0,6.0
frosties,1,,,1.0
soft,7,,5.0,2.0
knackers,1,,,1.0
sidewalk,5,3.0,1.0,1.0
harvard,2,2.0,,
square,14,9.0,1.0,4.0
cobblestones,1,1.0,,
relaxin,6,,4.0,2.0
ciwwaf,1,,1.0,
inerne,1,1.0,,
doggie,3,2.0,,1.0
keen,8,,3.0,5.0
forest,7,,2.0,5.0
_mitchell,1,,,1.0
everythin,1,1.0,,
wot,4,2.0,,2.0
pritchard,4,4.0,,
control,11,4.0,2.0,5.0
hashtag,3,1.0,2.0,
selectivetwitter,1,,1.0,
recieving,1,,,1.0
vaccines,2,,,2.0
banging,3,2.0,1.0,
_distel,1,1.0,,
ability,8,5.0,1.0,2.0
languages,4,2.0,,2.0
envy,5,2.0,2.0,1.0
spoiled,3,2.0,,1.0
rotton,1,1.0,,
wheniwerealad,1,,,1.0
explain,7,,,7.0
explanations,1,,,1.0
pleeezzze,1,,,1.0
insomnia,3,2.0,,1.0
finest,3,1.0,1.0,1.0
mee,7,3.0,2.0,2.0
dorian,1,,,1.0
oscar,2,,,2.0
wilde,1,,,1.0
losing,22,16.0,1.0,5.0
zip,1,1.0,,
courney,1,1.0,,
cox,2,1.0,1.0,
mohawk,3,2.0,1.0,
battlestar,2,,1.0,1.0
galactica,2,,1.0,1.0
rebellion,1,,,1.0
gaeta,1,,,1.0
positivly,1,1.0,,
chillin,36,4.0,23.0,9.0
homies,3,2.0,1.0,
screenings,1,,,1.0
sidekick,5,4.0,1.0,
fit,21,9.0,7.0,5.0
hals,1,1.0,,
advert,4,,2.0,2.0
jude,1,,1.0,
rainy,35,10.0,13.0,12.0
colouring,2,,1.0,1.0
mel,4,2.0,,2.0
shud,9,4.0,2.0,3.0
needing,3,,,3.0
virus,8,6.0,,2.0
software,6,2.0,1.0,3.0
blogroll,1,,1.0,
motivate,1,,1.0,
_anstee,1,,1.0,
expo,6,1.0,3.0,2.0
nm,4,,2.0,2.0
bounce,2,,2.0,
chilling,13,2.0,10.0,1.0
ooopps,1,,,1.0
10am,5,,1.0,4.0
shizzle,2,1.0,,1.0
_reviews,1,,1.0,
landlord,3,2.0,,1.0
focus,7,3.0,2.0,2.0
sew,1,1.0,,
venue,7,2.0,1.0,4.0
frankie,4,,2.0,2.0
effin,5,5.0,,
bacon,15,5.0,3.0,7.0
ranch,4,,2.0,2.0
birth,3,1.0,1.0,1.0
rsmv,2,2.0,,
jagex,1,1.0,,
unless,20,4.0,7.0,9.0
sentence,7,3.0,3.0,1.0
president,6,1.0,3.0,2.0
showing,23,8.0,10.0,5.0
anotha,2,2.0,,
closin,1,1.0,,
entering,5,1.0,1.0,3.0
flip,5,2.0,2.0,1.0
effing,7,6.0,1.0,
therell,3,3.0,,
britneys,2,1.0,,1.0
dollars,5,3.0,,2.0
marks,5,1.0,2.0,2.0
fulltime,1,,1.0,
jade,5,1.0,3.0,1.0
antioch,1,1.0,,
amtrak,1,1.0,,
mamas,16,2.0,11.0,3.0
mes,3,2.0,,1.0
flywithmeobsessive,1,1.0,,
muffler,1,1.0,,
bearings,1,1.0,,
brit,3,1.0,,2.0
pounces,1,,,1.0
thanksss,1,,,1.0
tania,2,,1.0,1.0
epic,21,6.0,10.0,5.0
shorts,7,1.0,,6.0
dhq,1,,,1.0
organized,2,1.0,1.0,
aaaawww,1,,,1.0
alcoholic,3,2.0,,1.0
beverage,2,1.0,,1.0
choice,18,5.0,10.0,3.0
cloudy,20,5.0,4.0,11.0
yeh,12,2.0,3.0,7.0
big1,1,1.0,,
idiot,13,8.0,2.0,3.0
sing,34,7.0,13.0,14.0
regretting,5,5.0,,
jab,1,,,1.0
knitting,4,1.0,1.0,2.0
needles,4,,2.0,2.0
braving,1,,1.0,
standby,3,1.0,1.0,1.0
theview,1,,1.0,
charm,4,,3.0,1.0
rc,4,1.0,1.0,2.0
maintenance,5,2.0,,3.0
howdyyy,1,,,1.0
launch,12,2.0,5.0,5.0
judy,3,,2.0,1.0
products,1,,1.0,
caveat,1,,,1.0
fiction,3,1.0,,2.0
recent,6,2.0,1.0,3.0
novels,2,,,2.0
security,8,4.0,1.0,3.0
october,13,3.0,4.0,6.0
clambering,1,,1.0,
crashed,10,6.0,2.0,2.0
buffett,2,,,2.0
maaate,1,,,1.0
grooovin,1,,,1.0
sluzzaa,1,,,1.0
kxcl,1,,1.0,
immigrant,1,,1.0,
hid,4,2.0,1.0,1.0
passport,2,1.0,1.0,
genius,8,,4.0,4.0
9h,1,,1.0,
scratches,2,2.0,,
festivus,1,1.0,,
wrestling,1,1.0,,
dirt,2,1.0,1.0,
cauz,2,1.0,1.0,
oxoxoteambreezy,1,,1.0,
obama,9,1.0,5.0,3.0
spreading,3,2.0,,1.0
hayley,6,2.0,3.0,1.0
pep,3,1.0,1.0,1.0
resteraunt,1,,1.0,
mayb,6,,2.0,4.0
loverboy,1,1.0,,
culture,5,,4.0,1.0
alenka,1,,1.0,
chicky,1,,1.0,
aches,7,5.0,1.0,1.0
barnsley,1,,1.0,
youtubes,1,1.0,,
tubes,5,3.0,1.0,1.0
clogging,2,1.0,,1.0
somewhat,7,4.0,1.0,2.0
wavves,2,1.0,,1.0
ripped,6,3.0,2.0,1.0
bffs,3,1.0,2.0,
hourssss,1,1.0,,
calllll,1,1.0,,
avoiding,2,,,2.0
_lavish,1,,,1.0
diamond,6,3.0,,3.0
aitn,1,,,1.0
starburst,1,,,1.0
force,10,2.0,4.0,4.0
marrying,1,,,1.0
lovable,1,,,1.0
tweetie,11,1.0,4.0,6.0
awareness,1,,,1.0
principle,1,,,1.0
mourners,1,,,1.0
philly,12,3.0,4.0,5.0
key,16,6.0,5.0,5.0
_luca,1,,1.0,
4jhp8,1,,,1.0
snap,10,4.0,2.0,4.0
babes,7,2.0,3.0,2.0
cobra,6,1.0,4.0,1.0
starship,7,2.0,5.0,
suggestion,5,,4.0,1.0
nvm,6,,2.0,4.0
mercially,1,,1.0,
viable,1,,1.0,
cmon,8,,3.0,5.0
sunbeams,1,,1.0,
counts,5,,2.0,3.0
brendon,1,,1.0,
loretta,1,,1.0,
raffle,2,1.0,1.0,
mutual,3,1.0,,2.0
admiration,1,1.0,,
society,8,2.0,3.0,3.0
neighbours,6,1.0,1.0,4.0
brought,26,5.0,11.0,10.0
sexxxy,1,,,1.0
tiiiiiimmmmmmeee,1,,,1.0
buffet,3,1.0,,2.0
palms,2,1.0,1.0,
gluttony,1,1.0,,
grows,1,,1.0,
ibm,3,,2.0,1.0
patible,3,1.0,1.0,1.0
techie,1,,1.0,
vanessa,2,1.0,,1.0
hudgens,3,,,3.0
vfactory,1,,,1.0
boarding,3,1.0,,2.0
nige,1,,1.0,
goth,1,,1.0,
entered,3,,1.0,2.0
mode,15,6.0,3.0,6.0
apartment,25,6.0,4.0,15.0
sseldorf,1,,,1.0
